"oid","uniq_id","stor_folder","stor_phys","stor_reason","stor_date","stor_dept","stor_person","stor_desc","stor_fmts","stor_units","obj_name","type_of_work","obj_synopsis","obj_type","obj_sub_type","obj_assoc_inv_nums","obj_date","obj_year","obj_authors","obj_orgs","obj_restrict","obj_rights","obj_rdoc_name","obj_rdoc_num","obj_terms","obj_sources","obj_supl_info","obj_main_min","obj_supl_min","obj_group_min","obj_assoc_geol","spat_atd_ate","spat_loc","spat_num_grid","spat_coords_source","spat_toponim","inf_type","inf_media","path_others","obj_main_group","obj_sub_group","path_local","path_cloud","status","geom_status","timecode","obj_sub_group_ref","path_local_ref","path_cloud_ref"
"1842","g13s01y2023m04d25n2e","12","Отдел геолого-экономической оценки месторождений и апробации","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","25.04.2023","Лаборатория ЕБГИ отдела ГИС","Иванович И.И., ведущий инженер","2023_04_25 Протокол","","","","","","Материалы на апробацию","Материалы к апробации прогнозных ресурсов","ЦНИГРИ:","25.04.2023","12","","","","","","","","","","","","","","","","","","","Интерпретированная","Электронный","","13APR_PR","01_APR_PR","\\pegas\UDS\13APR_PR\01_APR_PR\12","http://cloud.tsnigri.ru/apps/files/?dir=/13-01-МАТЕРИАЛЫ%20К%20АПРОБАЦИИ%20ПРОГНОЗНЫХ%20РЕСУРСОВ/12","",""
"1841","g13s01y2023m04d25n1e","test","Отдел геолого-экономической оценки месторождений и апробации","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","25.04.2023","Лаборатория ЕБГИ отдела ГИС","Иванович И.И., ведущий инженер","2023_04_25 Протокол","","","","","","Материалы на апробацию","Материалы к апробации прогнозных ресурсов","ЦНИГРИ:","25.04.2023","","","","","","","","","","","","","","","","","","","","Интерпретированная","Электронный","","13APR_PR","01_APR_PR","","","",""
"1840","g13s01y2022m07d04n3e","2022_Пр 04_98_Рябиновое","Отдел геолого-экономической оценки месторождений и апробации","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","04.07.2022","Лаборатория ЕБГИ отдела ГИС","Уварова Е.А., зав. лабораторией","2022_06_03 Протокол 04","PDF, XLS, DOCS, JPG, форматы ARCGIS","Протокол. Заключение. Материалы на апробацию","Протокол № 4 от 03.06.2022 заседания Подсекции экспертизы и апробации прогнозных ресурсов Секции геологии Ученого совета ФГБУ ""ЦНИГРИ"". Апробация прогнозных ресурсов золота потенциального техногенного месторождения ""Хвосты обогащения руд Рябинового месторождения (Республика Саха (Якутия)""","","Апробировать прогнозные ресурсы P2 техногенного объекта ""Хвосты обогащения руд Рябинового месторождения""","Материалы на апробацию","Материалы к апробации прогнозных ресурсов","","03.06.2022","2022","","ФГУП ЦНИГРИ. ООО ""БиК"", ООО ""Рябиновое""","","РФ","","","Заключение рабочей группы, протокоол, апробация прогнозных ресурсов, золото, техногенный объект, Хвосты обогащения руд Рябинового месторождения, Республика Саха (Якутия)","","","Золото","","Благородные металлы","Хвосты обогащения руд Рябинового месторождения","Ресупблика Саха (Якутия)","Алданский район","O-51-XVIII","","","Интерпретированная","Электронный","","13APR_PR","01_APR_PR","\\pegas\UDS\13APR_PR\01_APR_PR\2022_Пр 04_98_Рябиновое","http://cloud.tsnigri.ru/apps/files/?dir=/13-01-МАТЕРИАЛЫ К АПРОБАЦИИ ПРОГНОЗНЫХ РЕСУРСОВ/2022_Пр 04_98_Рябиновое","",""
"1839","g13s01y2022m07d04n2e","2022_Пр 03_25_Атырканская","Отдел геолого-экономической оценки месторождений и апробации","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","04.07.2022","Лаборатория ЕБГИ отдела ГИС","Уварова Е.А., зав. лабораторией","2022_06_01 Протокол 03","PDF, XLS, DOCS, JPG, форматы ARCGIS","Протокол. Заключение. Материалы на апробацию","Протокол № 3 от 01.06.2022 заседания Подсекции экспертизы и апробации прогнозных ресурсов Секции геологии Ученого совета ФГБУ ""ЦНИГРИ"". Апробация прогнозных ресурсов категорий P1 и P2, локализованных в результате работ по объекту ""Поисковые работы на рудное золото в пределах Атырканской площади (Иркутская область)"" (Государственный контракт № 111-32 от 30.06.2009, № госрегистрации 25-09-73)","","Апробировать прогнозные ресурсы золота и серебра (попутного) P1 и P2 Алтыркан-Кудускитского рудного поля. Оставить без изменеий прогнозные ресурсы золота P3, апробированные Протоколом ЦНИГРИ № 18 от 18.04.2013 для Кропоткинского рудного узла","Материалы на апробацию","Материалы к апробации прогнозных ресурсов","","01.06.2022","2022","","ФГУП ЦНИГРИ. ЗАО ""СибГК""","","РФ","ГК № 111-32 от 30.06.2009. № госреристрации 25-09-73","ГК № 111-32 от 30.06.2009. № госреристрации 25-09-73","Заключение рабочей группы, протокоол, апробация прогнозных ресурсов, золото, серебро, Алтыркан-Кудускитское рудное поле, Кропоткинский рудный узел, Иркутская область","","","Золото","Серебро","Благородные металлы","Алтыркан-Кудускитское рудное поле, Кропоткинский рудный узел","Иркутская область","Бодайбинский район","O-50-XIV","","","Интерпретированная","Электронный","","13APR_PR","01_APR_PR","\\pegas\UDS\13APR_PR\01_APR_PR\2022_Пр 03_25_Атырканская","http://cloud.tsnigri.ru/apps/files/?dir=/13-01-МАТЕРИАЛЫ К АПРОБАЦИИ ПРОГНОЗНЫХ РЕСУРСОВ/2022_Пр 03_25_Атырканская","",""
"1838","g13s01y2022m07d04n1e","2022_Пр 02_77_Золотогорская","Отдел геолого-экономической оценки месторождений и апробации","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","04.07.2022","Лаборатория ЕБГИ отдела ГИС","Уварова Е.А., зав. лабораторией","2022_03_15 Протокол 02","PDF, XLS, DOCS, JPG, форматы ARCGIS","Протокол. Заключение. Материалы на апробацию","Протокол № 2 от 15.03.2022 заседания Подсекции экспертизы и апробации прогнозных ресурсов Секции геологии Ученого совета ФГБУ ""ЦНИГРИ"". Апробация прогнозных ресурсов золота категории P2, локализованных в результате работ по объекту ""Поисковые работы на золото в пределах Золотогорской перспективной площади (Чукотский АО)"" (Государственный контракт № 2/2017 от 30.06.2017)","","Принять к внутреннему учету ФГБУ ""ЦНИГРИ"" P2 по Галечному участку (р.т. 1), Галечному участку (р.т. 2), Вольному участку (р.т. 3). Снять с учета P3 Золотогорского рудно-россыпного узла","Материалы на апробацию","Материалы к апробации прогнозных ресурсов","","15.03.2022","2022","","ФГУП ЦНИГРИ. АО ""Росгеология""","","РФ","ГК № 2/2017 от 30.06.2017","ГК № 2/2017 от 30.06.2017","Заключение рабочей группы, протокоол, апробация прогнозных ресурсов, золото, Галечный участок (р.т. 1), Галечный участок (р.т. 2), Вольный участок (р.т. 3), Золотогорский рудно-россыпной узел, Золотогорская перспективная площадь, Чукотский АО","","","Золото","","Благородные металлы","Галечный участок (р.т. 1), Галечный участок (р.т. 2), Вольный участок (р.т. 3), Золотогорский рудно-россыпной узел, Золотогорская перспективная площадь","Чукотский АО","Анадырский район","Q-60-XXIX, Q-60-XXX","","","Интерпретированная","Электронный","","13APR_PR","01_APR_PR","\\pegas\UDS\13APR_PR\01_APR_PR\2022_Пр 02_77_Золотогорская","http://cloud.tsnigri.ru/apps/files/?dir=/13-01-МАТЕРИАЛЫ К АПРОБАЦИИ ПРОГНОЗНЫХ РЕСУРСОВ/2022_Пр 02_77_Золотогорская","",""
"1837","g13s01y2022m05d04n1e","2017_01_Локтевский","Отдел геолого-экономической оценки месторождений и апробации","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","04.05.2022","Лаборатория ЕБГИ отдела ГИС","Уварова Е.А., зав. лабораторией","","DOC, CDR, PDF","Заключение. Материалы на апробацию","Заключение рабочей группы ФГУП ЦНИГРИ на материалы, обосновывающие оценку прогнозных ресурсов золота категории Р3 в пределах Локтевского золоторудного узла (Алтайский край), представленные для апробации","","В представленном виде прогнозные ресурсы золота категории Р3 по Локтевскому золоторудному узлу (Алтайский край) не могут быть рекомендованы к апробации","Материалы на апробацию","Материалы к апробации прогнозных ресурсов","","17.06.2017","2017","","ФГУП ЦНИГРИ. АО ""Росгеология""","","РФ","","","Заключение рабочей группы, апробация прогнозных ресурсов, золото, Локтевский золоторудный узел, Алтайский край","","","Золото","Серебро, медь","Благородные металлы, цветные металлы","Локтевский золоторудный узел","Алтайский край","Курьинский район","M-44 -V","","","Интерпретированная","Электронный","","13APR_PR","01_APR_PR","\\pegas\UDS\13APR_PR\01_APR_PR\2017_01_Локтевский","http://cloud.tsnigri.ru/apps/files/?dir=/13-01-МАТЕРИАЛЫ К АПРОБАЦИИ ПРОГНОЗНЫХ РЕСУРСОВ/2017_01_Локтевский","",""
"1836","g13s01y2022m03d15n1e","2022_Пр 01_77_Кремовая","Отдел геолого-экономической оценки месторождений и апробации","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","15.03.2022","Лаборатория ЕБГИ отдела ГИС","Уварова Е.А., зав. лабораторией","2022_03_05 Протокол 01","PDF, XLS, DOCS, JPG, форматы ARCGIS","Протокол. Заключение. Материалы на апробацию","Протокол № 1 от 05.03.2022 заседания Подсекции экспертизы и апробации прогнозных ресурсов Секции геологии Ученого совета ФГБУ ""ЦНИГРИ"". Апробация прогнозных ресурсов золота и серебра категорий P2 и Р1, локализованных в результате работ по объекту ""Поисковые работы на золото и серебро в пределах Кремовой перспективной площади (Чукотский АО)"" (Государственный контракт № 7/2017 от 04.09.2017)
","","Снять с учета Р3 Кремовой перспективной площади по Протоколу ФГУП ЦНИГРИ № 3 от 25.03.2018. Принять к внутреннему учету ФГБУ ""ЦНИГРИ"" P1 Кремового участка","Материалы на апробацию","Материалы к апробации прогнозных ресурсов","","05.03.2022","2022","","ФГБУ ""ЦНИГРИ"". АО ""Росгеология""","","РФ","ГК № 7/2017 от 04.09.2017. Лицензия № АНД01297БП","ГК № 7/2017 от 04.09.2017. Лицензия № АНД01297БП","Протоколы, заключения рабочей группы, апробация прогнозных ресурсов, золото, серебро, Кремовая площадь, Кремовый участок, Чукотский АО","","","Золото, серебро","","0","Кремовая площадь, Кремовый участок","Чукотский АО","Анадырский район","Q-60-XVI, Q-60-XVII","","","Интерпретированная","Электронный","","13APR_PR","01_APR_PR","\\pegas\UDS\13APR_PR\01_APR_PR\2022_Пр 01_77_Кремовая","http://cloud.tsnigri.ru/apps/files/?dir=/13-01-МАТЕРИАЛЫ К АПРОБАЦИИ ПРОГНОЗНЫХ РЕСУРСОВ/2022_Пр 01_77_Кремовая","",""
"1835","g13s01y2022m01d11n1e","2021_Пр 33_81_Хвосты Нерудинского","Отдел геолого-экономической оценки месторождений и апробации","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","29.12.2021","Лаборатория ЕБГИ отдела ГИС","Уварова Е.А., зав. лабораторией","2021_12_28 Протокол 33","PDF, XLS, DOCS, JPG, форматы ARCGIS","Протокол. Заключение. Материалы на апробацию","Протокол № 33 от 28.12.2021 заседания Подсекции экспертизы и апробации прогнозных ресурсов Секции геологии Ученого совета ФГБУ ""ЦНИГРИ"". Апробация прогнозных ресурсов золота потенциоального техногенного месторождения ""Хвосты переработки руд Нерудинского золоторудного месторождени"" в пределах лицензии УДЭ 00423 БР (Республика Бурятия)","","Апробировать прогнозные ресурсы категории P2 объекта учета Хвосты обогащения руд Нурудинского месторождения","Материалы на апробацию","Материалы к апробации прогнозных ресурсов","","28.12.2021","2021","","ФГБУ ""ЦНИГРИ"". ООО ""БиК"", ООО ""Артель старателей ""Сининда-1""""","","РФ","Лицензия № УДЭ00423БР","Лицензия № УДЭ00423БР","Протоколы, заключения рабочей группы, апробация прогнозных ресурсов, золото, Хвосты переработки руд Нерудинского золоторудного месторождения, Республика Бурятия","","","Золото","","0","Хвосты переработки руд Нерудинского золоторудного месторождения","Республика Бурятия","Северо-Байкальский район","О-49-XXVIII","","","Интерпретированная","Электронный","","13APR_PR","01_APR_PR","\\pegas\UDS\13APR_PR\01_APR_PR\2021_Пр 33_81_Хвосты Нерудинского","http://cloud.tsnigri.ru/apps/files/?dir=/13-01-МАТЕРИАЛЫ К АПРОБАЦИИ ПРОГНОЗНЫХ РЕСУРСОВ/2021_Пр 33_81_Хвосты Нерудинского","",""
"1834","g13s01y2021m12d07n3e","2021_Пр 32_10_Соловьевский","Отдел геолого-экономической оценки месторождений и апробации","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","07.12.2021","Лаборатория ЕБГИ отдела ГИС","Уварова Е.А., зав. лабораторией","2021_11_29 Протокол 32","PDF, XLS, DOCS, JPG, форматы ARCGIS","Протокол. Заключение. Материалы на апробацию","Протокол № 32 от 29.11.2021 заседания Подсекции экспертизы и апробации прогнозных ресурсов Секции геологии Ученого совета ФГБУ ""ЦНИГРИ"". Апробация прогнозных ресурсов рудного золота категории P2, локализованных в результате работ по объекту: ""Поисковые работы на рудное золото в Соловьевском рудном узле (Амурская область)"" (Государственный контракт № 2/2018 от 21.05.2018 г.)","","Уменьшить P3 по Пр. 07 2012 Соловьевского рудного узла, как частично реализованные. Апробировать Р2 Гольцовое рудопроявление Соловьевского рудного узла, Поворот рудопроявление Соловьевского рудного узла, Широтное рудопроявление Соловьевского рудного узла, Андреевское рудопроявление Соловьевского рудного узла. Принять к внутреннему учету ФГБУ ""ЦНИГРИ"" P2 Центрального рудопроявления Соловьевского рудного узла","Материалы на апробацию","Материалы к апробации прогнозных ресурсов","","29.11.2021","2021","","ФГБУ ""ЦНИГРИ"". АО ""Росгеология"", АО ""Дальневосточное ПГО""","","РФ","ГК № 2/2018 от 21.05.2018","ГК № 2/2018 от 21.05.2018","Протоколы, заключения рабочей группы, апробация прогнозных ресурсов, золото, Соловьевский рудный узел, Гольцовое рудопроявление Соловьевского рудного узла, Поворот рудопроявление Соловьевского рудного узла, Широтное рудопроявление Соловьевского рудного узла, Андреевское рудопроявление Соловьевского рудного узла, Центральное рудопроявление Соловьевского рудного узла, Амурская область","","","Золото","","Благородные металлы","Соловьевский рудный узел, Гольцовое рудопроявление Соловьевского рудного узла, Поворот рудопроявление Соловьевского рудного узла, Широтное рудопроявление Соловьевского рудного узла, Андреевское рудопроявление Соловьевского рудного узла, Центральное рудопроявление Соловьевского рудного узла","Амурская область","Тындинский район","N-51-XVII","","","Интерпретированная","Электронный","","13APR_PR","01_APR_PR","\\pegas\UDS\13APR_PR\01_APR_PR\2021_Пр 32_10_Соловьевский","http://cloud.tsnigri.ru/apps/files/?dir=/13-01-МАТЕРИАЛЫ К АПРОБАЦИИ ПРОГНОЗНЫХ РЕСУРСОВ/2021_Пр 32_10_Соловьевский","",""
"1833","g13s01y2021m12d07n2e","2021_Пр 31_93_Кызыл-Ташский","Отдел геолого-экономической оценки месторождений и апробации","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","07.12.2021","Лаборатория ЕБГИ отдела ГИС","Уварова Е.А., зав. лабораторией","2021_11_24 Протокол 31","PDF, XLS, DOCS, JPG, форматы ARCGIS","Протокол. Заключение. Материалы на апробацию","Протокол № 31 от 24.11.2021 заседания Подсекции экспертизы и апробации прогнозных ресурсов Секции геологии Ученого совета ФГБУ ""ЦНИГРИ"". Апробация прогнозных ресурсов полиметаллических руд категории P3 для включения нового объекта: ""Поисковые работы на полиметаллическое оруденение по Кызыл-Ташскому рудному узлу в пределах Улугойской металлогениечской зоны (Республика Тыва)"" в проект Перечня объектов Госзаказа Роснедра","","Апробировать Р3 свинца, цинк, меди Кызыл-Ташскую перспективную площадь; Р2 меди, цинка Кызыл-Ташское рудопроявление","Материалы на апробацию","Материалы к апробации прогнозных ресурсов","","24.11.2021","2021","","ФГБУ ""ЦНИГРИ"". АО ""Росгеология"", АО ""Сибирское ПГО""","","РФ","","","Протоколы, заключения рабочей группы, апробация прогнозных ресурсов, полиметаллическое оруденение, свинец, цинк, медь, Кызыл-Ташская перспективная площадь, Кызыл-Ташское рудопроявление, Республика Тыва","","","Свинец, цинк, медь","","Цветные металлы","Кызыл-Ташская перспективная площадь, Кызыл-Ташское рудопроявление","Республика Тыва","Каа-Хемский кожуун","N-46-XXXVI","","","Интерпретированная","Электронный","","13APR_PR","01_APR_PR","\\pegas\UDS\13APR_PR\01_APR_PR\2021_Пр 31_93_Кызыл-Ташский","http://cloud.tsnigri.ru/apps/files/?dir=/13-01-МАТЕРИАЛЫ К АПРОБАЦИИ ПРОГНОЗНЫХ РЕСУРСОВ/2021_Пр 31_93_Кызыл-Ташский","",""
